Model,DPO3032
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.004,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,-0.02,2.578
Vertical Scale,2,0.2
Label,IN,OUT
TIME,CH1,CH2
-2.000e+00,-0.02,2.334
-1.996e+00,-0.1,2.318
-1.992e+00,-0.02,2.294
-1.988e+00,-0.02,2.342
-1.984e+00,-0.1,2.334
-1.980e+00,0.06,2.318
-1.976e+00,-0.02,2.342
-1.972e+00,-0.02,2.358
-1.968e+00,-0.02,2.358
-1.964e+00,-0.1,2.358
-1.960e+00,-0.02,2.358
-1.956e+00,-0.02,2.39
-1.952e+00,-0.1,2.366
-1.948e+00,-0.02,2.398
-1.944e+00,-0.02,2.398
-1.940e+00,-0.02,2.374
-1.936e+00,-0.02,2.422
-1.932e+00,-0.02,2.39
-1.928e+00,-0.18,2.406
-1.924e+00,-0.02,2.39
-1.920e+00,-0.02,2.406
-1.916e+00,-0.1,2.446
-1.912e+00,-0.1,2.446
-1.908e+00,-0.02,2.43
-1.904e+00,-0.18,2.462
-1.900e+00,-0.02,2.478
-1.896e+00,0.06,2.47
-1.892e+00,-0.1,2.462
-1.888e+00,-0.02,2.478
-1.884e+00,-0.02,2.494
-1.880e+00,-0.02,2.47
-1.876e+00,-0.02,2.494
-1.872e+00,-0.1,2.502
-1.868e+00,-0.02,2.526
-1.864e+00,0.06,2.518
-1.860e+00,-0.1,2.526
-1.856e+00,-0.1,2.542
-1.852e+00,0.06,2.518
-1.848e+00,-0.02,2.534
-1.844e+00,-0.02,2.566
-1.840e+00,0.06,2.67
-1.836e+00,-0.02,2.574
-1.832e+00,-0.02,2.574
-1.828e+00,0.06,2.558
-1.824e+00,-0.02,2.574
-1.820e+00,-0.02,2.574
-1.816e+00,-0.1,2.59
-1.812e+00,-0.02,2.614
-1.808e+00,-0.02,2.614
-1.804e+00,-0.02,2.606
-1.800e+00,-0.02,2.598
-1.796e+00,-0.02,2.622
-1.792e+00,-0.1,2.63
-1.788e+00,-0.02,2.63
-1.784e+00,-0.02,2.662
-1.780e+00,-0.18,2.678
-1.776e+00,-0.1,2.662
-1.772e+00,-0.1,2.686
-1.768e+00,-0.02,2.67
-1.764e+00,0.06,2.694
-1.760e+00,-0.18,2.678
-1.756e+00,0.06,2.686
-1.752e+00,-0.02,2.726
-1.748e+00,-0.02,2.71
-1.744e+00,-0.02,2.718
-1.740e+00,-0.02,2.726
-1.736e+00,-0.1,2.758
-1.732e+00,-0.02,2.758
-1.728e+00,-0.02,2.75
-1.724e+00,-0.02,2.742
-1.720e+00,-0.02,2.782
-1.716e+00,-0.02,2.766
-1.712e+00,-0.02,2.758
-1.708e+00,-0.02,2.79
-1.704e+00,0.06,2.79
-1.700e+00,-0.1,2.774
-1.696e+00,-0.18,2.822
-1.692e+00,-0.02,2.822
-1.688e+00,-0.02,2.814
-1.684e+00,-0.02,2.806
-1.680e+00,-0.18,2.814
-1.676e+00,-0.02,2.838
-1.672e+00,-0.02,2.846
-1.668e+00,-0.02,2.83
-1.664e+00,-0.02,2.854
-1.660e+00,0.06,2.83
-1.656e+00,-0.02,2.846
-1.652e+00,-0.02,2.87
-1.648e+00,-0.1,2.854
-1.644e+00,-0.02,2.87
-1.640e+00,-0.02,2.878
-1.636e+00,-0.02,2.886
-1.632e+00,-0.02,2.862
-1.628e+00,-0.02,2.878
-1.624e+00,0.06,2.862
-1.620e+00,-0.1,2.886
-1.616e+00,-0.02,2.878
-1.612e+00,-0.02,2.918
-1.608e+00,0.06,2.902
-1.604e+00,-0.02,2.91
-1.600e+00,-0.02,2.886
-1.596e+00,-0.02,2.878
-1.592e+00,-0.02,2.91
-1.588e+00,-0.02,2.926
-1.584e+00,-0.1,2.894
-1.580e+00,-0.1,2.918
-1.576e+00,-0.02,2.91
-1.572e+00,-0.02,2.91
-1.568e+00,4.54,2.926
-1.564e+00,4.7,2.91
-1.560e+00,4.7,2.926
-1.556e+00,4.78,2.95
-1.552e+00,4.78,2.95
-1.548e+00,4.7,2.958
-1.544e+00,4.7,2.934
-1.540e+00,4.7,2.926
-1.536e+00,4.62,2.942
-1.532e+00,4.78,2.942
-1.528e+00,4.78,2.926
-1.524e+00,4.62,2.942
-1.520e+00,4.7,2.918
-1.516e+00,4.7,2.942
-1.512e+00,4.62,2.95
-1.508e+00,4.78,2.91
-1.504e+00,4.78,2.934
-1.500e+00,4.7,2.926
-1.496e+00,4.7,2.942
-1.492e+00,4.7,2.91
-1.488e+00,4.7,2.934
-1.484e+00,4.62,2.926
-1.480e+00,4.7,2.902
-1.476e+00,0.06,2.894
-1.472e+00,-0.02,2.902
-1.468e+00,-0.02,2.918
-1.464e+00,-0.02,2.902
-1.460e+00,-0.1,2.91
-1.456e+00,-0.02,2.918
-1.452e+00,-0.02,2.942
-1.448e+00,-0.02,2.894
-1.444e+00,-0.02,2.902
-1.440e+00,-0.02,2.87
-1.436e+00,0.06,2.926
-1.432e+00,-0.02,2.926
-1.428e+00,-0.02,2.886
-1.424e+00,-0.02,2.902
-1.420e+00,-0.18,2.886
-1.416e+00,0.06,2.878
-1.412e+00,-0.1,2.878
-1.408e+00,-0.02,2.87
-1.404e+00,-0.02,2.87
-1.400e+00,-0.02,2.854
-1.396e+00,-0.1,2.886
-1.392e+00,-0.02,2.87
-1.388e+00,-0.1,2.846
-1.384e+00,-0.02,2.83
-1.380e+00,-0.02,2.846
-1.376e+00,-0.02,2.83
-1.372e+00,-0.1,2.83
-1.368e+00,-0.1,2.838
-1.364e+00,-0.02,2.838
-1.360e+00,-0.02,2.806
-1.356e+00,-0.02,2.79
-1.352e+00,-0.02,2.798
-1.348e+00,-0.02,2.806
-1.344e+00,-0.02,2.798
-1.340e+00,-0.02,2.806
-1.336e+00,-0.02,2.798
-1.332e+00,-0.02,2.758
-1.328e+00,-0.02,2.766
-1.324e+00,-0.18,2.798
-1.320e+00,-0.02,2.742
-1.316e+00,-0.02,2.774
-1.312e+00,-0.02,2.742
-1.308e+00,-0.02,2.726
-1.304e+00,0.06,2.742
-1.300e+00,-0.02,2.718
-1.296e+00,-0.02,2.694
-1.292e+00,-0.02,2.686
-1.288e+00,-0.02,2.686
-1.284e+00,-0.02,2.678
-1.280e+00,-0.02,2.67
-1.276e+00,-0.02,2.67
-1.272e+00,-0.02,2.694
-1.268e+00,0.06,2.654
-1.264e+00,-0.02,2.646
-1.260e+00,-0.02,2.67
